#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
MGYG000000575_01537	794903.OPIT5_16115	4.64e-06	57.8	COG1295@1|root,COG1295@2|Bacteria,46USV@74201|Verrucomicrobia,3K77Z@414999|Opitutae	414999|Opitutae	S	ribonuclease BN	-	-	-	ko:K07058	-	-	-	-	ko00000	-	-	-	Virul_fac_BrkB
MGYG000000575_02299	457415.HMPREF1006_02330	8.35e-293	820.0	COG2217@1|root,COG2217@2|Bacteria,3TA3C@508458|Synergistetes	508458|Synergistetes	P	ATPase, P-type (transporting), HAD superfamily, subfamily IC	-	-	3.6.3.3,3.6.3.5	ko:K01534	-	-	-	-	ko00000,ko01000	3.A.3.6	-	-	E1-E2_ATPase,HMA,Hydrolase
MGYG000000575_03622	1120960.ATXG01000001_gene1202	3.38e-40	166.0	COG1572@1|root,COG1572@2|Bacteria,2IAZH@201174|Actinobacteria	201174|Actinobacteria	G	Domain of unknown function (DUF4091)	-	-	-	-	-	-	-	-	-	-	-	-	CBM_4_9,CBM_6,Cadherin-like,DUF4091,F5_F8_type_C
MGYG000000575_02026	1121918.ARWE01000001_gene395	1.47e-144	433.0	COG3261@1|root,COG3261@2|Bacteria,1QUBF@1224|Proteobacteria,42NJH@68525|delta/epsilon subdivisions,2WJ6J@28221|Deltaproteobacteria,43SVB@69541|Desulfuromonadales	28221|Deltaproteobacteria	C	Respiratory-chain NADH dehydrogenase, 49 Kd subunit	ehrL	-	-	-	-	-	-	-	-	-	-	-	Complex1_30kDa,Complex1_49kDa,NiFeSe_Hases
MGYG000000575_01695	1303518.CCALI_00484	2.31e-17	86.3	COG2165@1|root,COG2165@2|Bacteria	2|Bacteria	NU	general secretion pathway protein	-	-	-	ko:K02456,ko:K02679	ko03070,ko05111,map03070,map05111	M00331	-	-	ko00000,ko00001,ko00002,ko02044	3.A.15	-	-	DUF1080,N_methyl,SBP_bac_10,T2SSG
MGYG000000575_02857	1296416.JACB01000066_gene5072	4.78e-20	90.9	29F7N@1|root,3025B@2|Bacteria,4NNR8@976|Bacteroidetes,1I26I@117743|Flavobacteriia,2YKFW@290174|Aquimarina	976|Bacteroidetes	S	serine protease	-	-	-	-	-	-	-	-	-	-	-	-	NfeD
MGYG000000575_03792	1507.HMPREF0262_00834	1.44e-75	241.0	2EYDM@1|root,33RMU@2|Bacteria	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000575_00264	744872.Spica_2833	1.67e-35	134.0	COG3884@1|root,COG3884@2|Bacteria,2J7X9@203691|Spirochaetes	203691|Spirochaetes	I	Acyl-ACP thioesterase	-	-	-	-	-	-	-	-	-	-	-	-	Acyl-ACP_TE
MGYG000000575_00856	314230.DSM3645_26804	3.61e-70	229.0	COG0673@1|root,COG0673@2|Bacteria,2IY6G@203682|Planctomycetes	203682|Planctomycetes	S	dehydrogenases and related proteins	-	-	-	-	-	-	-	-	-	-	-	-	GFO_IDH_MocA,GFO_IDH_MocA_C
MGYG000000575_00083	1280952.HJA_10845	2.07e-14	86.7	COG2091@1|root,COG2091@2|Bacteria,1MY8E@1224|Proteobacteria	1224|Proteobacteria	H	lysine biosynthetic process via aminoadipic acid	-	-	-	-	-	-	-	-	-	-	-	-	CBM9_1
MGYG000000575_02522	663278.Ethha_2157	2.33e-225	638.0	COG1232@1|root,COG1232@2|Bacteria,1TQE2@1239|Firmicutes,24BG3@186801|Clostridia,3WG92@541000|Ruminococcaceae	186801|Clostridia	H	Flavin containing amine oxidoreductase	-	-	-	-	-	-	-	-	-	-	-	-	Amino_oxidase,NAD_binding_8
MGYG000000575_01008	1547437.LL06_08605	4.65e-218	623.0	COG1001@1|root,COG1001@2|Bacteria,1MVFP@1224|Proteobacteria,2TR1X@28211|Alphaproteobacteria,43H7K@69277|Phyllobacteriaceae	28211|Alphaproteobacteria	F	Belongs to the metallo-dependent hydrolases superfamily. Adenine deaminase family	ade	-	3.5.4.2	ko:K01486	ko00230,ko01100,map00230,map01100	-	R01244	RC00477	ko00000,ko00001,ko01000	-	-	-	Adenine_deam_C,Amidohydro_1
MGYG000000575_01929	1283299.AUKG01000003_gene354	1.71e-08	66.6	COG3307@1|root,COG3307@2|Bacteria,2H5C0@201174|Actinobacteria,4CPXF@84995|Rubrobacteria	84995|Rubrobacteria	M	O-Antigen ligase	-	-	-	-	-	-	-	-	-	-	-	-	TPR_16,TPR_2,Wzy_C
MGYG000000575_03671	313628.LNTAR_03664	1.21e-59	206.0	COG0144@1|root,COG0144@2|Bacteria	2|Bacteria	J	Specifically methylates the cytosine at position 967 (m5C967) of 16S rRNA	rsmB	-	2.1.1.176,2.1.1.178	ko:K03500,ko:K11392,ko:K21970	-	-	-	-	ko00000,ko01000,ko03009,ko03029	-	-	-	Methyltr_RsmB-F,Methyltransf_21,NusB
MGYG000000575_01748	156889.Mmc1_1873	8.07e-29	105.0	COG0236@1|root,COG0236@2|Bacteria,1MZ4P@1224|Proteobacteria,2UBWW@28211|Alphaproteobacteria	28211|Alphaproteobacteria	IQ	Carrier of the growing fatty acid chain in fatty acid biosynthesis	acpP	GO:0000035,GO:0000036,GO:0003674,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0006082,GO:0006629,GO:0006631,GO:0006633,GO:0006643,GO:0006644,GO:0006664,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008610,GO:0008654,GO:0009058,GO:0009245,GO:0009247,GO:0009311,GO:0009312,GO:0009987,GO:0016051,GO:0016053,GO:0019637,GO:0019752,GO:0019842,GO:0031177,GO:0032787,GO:0033218,GO:0036094,GO:0043167,GO:0043168,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0044620,GO:0046394,GO:0046467,GO:0046493,GO:0048037,GO:0051192,GO:0071704,GO:0072330,GO:0072341,GO:0090407,GO:0140104,GO:1901135,GO:1901137,GO:1901269,GO:1901271,GO:1901576,GO:1903509	-	ko:K02078	-	-	-	-	ko00000,ko00001	-	-	-	PP-binding
MGYG000000575_01450	1123278.KB893389_gene4180	1.4e-82	282.0	COG3345@1|root,COG3345@2|Bacteria,4NJA0@976|Bacteroidetes,47TI1@768503|Cytophagia	976|Bacteroidetes	G	Melibiase	-	-	-	-	-	-	-	-	-	-	-	-	Melibiase
MGYG000000575_00112	1123371.ATXH01000005_gene2035	3.11e-13	78.2	COG1463@1|root,COG1463@2|Bacteria,2GGR8@200940|Thermodesulfobacteria	200940|Thermodesulfobacteria	Q	MlaD protein	-	-	-	ko:K02067	ko02010,map02010	M00210,M00669,M00670	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.27	-	-	MlaD
MGYG000000575_03202	1280692.AUJL01000031_gene1955	2.91e-71	228.0	COG0584@1|root,COG0584@2|Bacteria,1V404@1239|Firmicutes,24EP5@186801|Clostridia,36JF3@31979|Clostridiaceae	186801|Clostridia	C	Domain of unknown function	-	-	3.1.4.46	ko:K01126	ko00564,map00564	-	R01030,R01470	RC00017,RC00425	ko00000,ko00001,ko01000	-	-	-	DUF4996,GDPD
MGYG000000575_02619	1502851.FG93_00555	1.11e-109	332.0	COG0842@1|root,COG0842@2|Bacteria,1MW5R@1224|Proteobacteria,2TU59@28211|Alphaproteobacteria,3K386@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	V	ABC-2 family transporter protein	-	-	-	ko:K01992	-	M00254	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	ABC2_membrane,ABC2_membrane_3
MGYG000000575_02997	869213.JCM21142_41533	0.0	933.0	COG3808@1|root,COG3808@2|Bacteria,4NF2I@976|Bacteroidetes,47MRY@768503|Cytophagia	976|Bacteroidetes	C	Sodium pump that utilizes the energy of pyrophosphate hydrolysis as the driving force for Na( ) movement across the membrane	hppA	-	3.6.1.1	ko:K15987	ko00190,map00190	-	-	-	ko00000,ko00001,ko01000	3.A.10.1	-	-	H_PPase,OmpA
MGYG000000575_01462	1396141.BATP01000023_gene539	1.41e-63	201.0	COG0250@1|root,COG0250@2|Bacteria,46SR6@74201|Verrucomicrobia,2IU6S@203494|Verrucomicrobiae	203494|Verrucomicrobiae	K	In Spt5p, this domain may confer affinity for Spt4p. It possesses a RNP-like fold.	nusG	-	-	ko:K02601	-	-	-	-	ko00000,ko03009,ko03021	-	-	-	KOW,NusG
MGYG000000575_00150	1121403.AUCV01000014_gene4556	4.1e-87	265.0	COG1011@1|root,COG1011@2|Bacteria,1PZ40@1224|Proteobacteria,4349Y@68525|delta/epsilon subdivisions,2X072@28221|Deltaproteobacteria,2MMCE@213118|Desulfobacterales	28221|Deltaproteobacteria	S	HAD-hyrolase-like	-	-	-	-	-	-	-	-	-	-	-	-	HAD_2
MGYG000000575_00227	313628.LNTAR_24693	5.2e-70	256.0	COG1450@1|root,COG1450@2|Bacteria	2|Bacteria	NU	protein transport across the cell outer membrane	-	-	-	ko:K02453	ko03070,ko05111,map03070,map05111	M00331	-	-	ko00000,ko00001,ko00002,ko02044	3.A.15	-	-	Secretin,TPR_16,TPR_19,TPR_2,TPR_8
MGYG000000575_00271	338966.Ppro_0921	4.18e-130	386.0	COG1216@1|root,COG3216@1|root,COG1216@2|Bacteria,COG3216@2|Bacteria,1QVEM@1224|Proteobacteria,42NYG@68525|delta/epsilon subdivisions,2WIXP@28221|Deltaproteobacteria	28221|Deltaproteobacteria	M	PFAM Glycosyl transferase family 2	-	-	-	-	-	-	-	-	-	-	-	-	DUF2062,Glycos_transf_2
