	index	KEGG	pvalue	-log(pvalue)	pvalue_corrected
0	0	ko:K00001	2.5533494060856936e-164	376.68654926114726	1.078922193868072e-162
1	1	ko:K00002	7.23768259660658e-08	16.44137967213398	9.016933971006205e-08
2	2	ko:K00003	3.482142380803503e-91	208.28759573142446	2.2867187960539186e-90
3	3	ko:K00004	1.1421452586781469e-23	52.82654883897712	2.2321926634516765e-23
4	4	ko:K00005	9.29518795498949e-66	149.74111929555258	4.138925625016033e-65
5	5	ko:K00006	1.3893906132770167e-05	11.184060221670764	1.516351315915262e-05
6	6	ko:K00007	1.3893906132770167e-05	11.184060221670764	1.516351315915262e-05
7	7	ko:K00008	2.0949181024852327e-96	220.3086544667109	1.52622630367741e-95
8	8	ko:K00009	3.322809881949942e-89	203.72926250150894	2.1185074034034647e-88
9	9	ko:K00010	4.828175962620433e-61	138.88322192378968	1.9880533684795292e-60
10	10	ko:K00012	4.3200702634421845e-95	217.2823121676249	3.0706578311032793e-94
11	11	ko:K00013	4.491280906904188e-109	249.4796371953473	4.169405775242721e-108
12	12	ko:K00014	1.5359397785737225e-160	367.98447245174816	5.809075940321727e-159
13	13	ko:K00015	7.816082598199408e-22	48.60068856334923	1.4739654687340035e-21
14	14	ko:K00016	2.9932982838445252e-105	240.6750588799807	2.5686188494559392e-104
15	15	ko:K00018	8.59478455849013e-45	101.46517361212295	2.6343294142005514e-44
16	16	ko:K00019	2.6419050185900876e-21	47.382786697992564	4.923038944313098e-21
17	17	ko:K00020	1.1535733542722033e-113	260.04925111893704	1.1740770667152475e-112
19	19	ko:K00023	8.582503881676756e-14	30.086465603288936	1.2472723264476632e-13
20	20	ko:K00024	1.4718323585897215e-74	170.00478875456594	7.590839108652546e-74
21	21	ko:K00027	9.11894856264796e-107	244.1662504421063	8.097362006281746e-106
22	22	ko:K00029	1.7895968552182957e-108	248.09719966941867	1.6463753651535284e-107
23	23	ko:K00030	2.109934286887991e-20	45.30504505653289	3.907970790738428e-20
24	24	ko:K00031	1.1746432288290103e-90	207.07169390301357	7.6159143524183555e-90
25	25	ko:K00032	2.6820883600498576e-15	33.55218066501229	3.9954182791211956e-15
26	26	ko:K00033	2.4380929987706494e-74	169.50008070571073	1.2500582262316126e-73
27	27	ko:K00034	3.2338042083418644e-21	47.180627735191024	6.007737533205155e-21
28	28	ko:K00035	1.3893906132770167e-05	11.184060221670764	1.516351315915262e-05
29	29	ko:K00036	2.7121564284504445e-62	141.76253171710903	1.1366198657397999e-61
30	30	ko:K00038	3.72646839143282e-20	44.736240886683056	6.422523722731051e-20
31	31	ko:K00039	1.3893906132770167e-05	11.184060221670764	1.516351315915262e-05
32	32	ko:K00040	5.399506962362524e-82	187.1256699793761	3.091848519476185e-81
33	33	ko:K00041	1.6493051908092778e-50	114.62890054695504	5.607820701491922e-50
34	34	ko:K00042	4.828175962620433e-61	138.88322192378968	1.9880533684795292e-60
35	35	ko:K00043	1.3893906132770167e-05	11.184060221670764	1.516351315915262e-05
36	36	ko:K00045	1.3893906132770167e-05	11.184060221670764	1.516351315915262e-05
37	37	ko:K00046	1.64560242053242e-68	156.0776797933278	7.638337901971316e-68
38	38	ko:K00048	2.990113807020685e-62	141.66496431640388	1.252250669556783e-61
39	39	ko:K00050	1.3893906132770167e-05	11.184060221670764	1.516351315915262e-05
40	40	ko:K00052	1.485806516928956e-91	209.13928572859078	9.852312261064625e-91
41	41	ko:K00053	6.849157449727361e-101	230.6369687477294	5.464165064385357e-100
42	42	ko:K00054	1.1125426721561098e-36	82.78641525646874	2.9457860640883684e-36
43	43	ko:K00055	4.5273571478567275e-17	37.633808222723445	7.450743283620244e-17
44	44	ko:K00057	7.08899498399534e-115	262.8387421150184	7.411991854426526e-114
45	45	ko:K00058	1.3294152909196473e-137	315.16941852550406	3.157103677311891e-136
46	46	ko:K00059	1.1840799898565994e-290	460.51701859880916	3.627429048925692e-288
47	47	ko:K00060	1.1874201167429385e-15	34.36699341035797	1.9338976755140842e-15
48	48	ko:K00064	2.3164446181009805e-09	19.8832323189333	2.949471358084935e-09
49	49	ko:K00065	3.9349721929961776e-56	127.57486139240508	1.4836661308607742e-55
50	50	ko:K00066	2.9811084408876483e-18	40.35423648250608	5.004178470498253e-18
51	51	ko:K00067	2.2946125885894066e-130	298.5054980666777	4.135026861849204e-129
52	52	ko:K00068	2.0421710782972667e-83	190.40054922249925	1.2008044334671165e-82
53	53	ko:K00073	9.940608596027031e-23	50.662828893104376	1.8938466687766674e-22
54	54	ko:K00074	6.6328355457056376e-52	117.8423924388049	2.302514639577249e-51
55	55	ko:K00075	4.224082328672005e-127	290.9875047733404	6.722325305915163e-126
56	56	ko:K00076	1.2092750850452892e-13	29.743585132116372	1.756157488995612e-13
57	57	ko:K00077	1.4823723591639957e-119	273.61398231648	1.777396368805832e-118
58	58	ko:K00082	4.5273571478567275e-17	37.633808222723445	7.450743283620244e-17
59	59	ko:K00086	1.4682522992308917e-25	57.180554543464986	3.054662763119753e-25
60	60	ko:K00087	1.014209651651906e-18	41.432422033041966	1.7256491351489108e-18
61	61	ko:K00088	1.542988352148594e-128	294.29717087871967	2.640751294305708e-127
62	62	ko:K00090	5.177520203730264e-25	55.92030110835382	1.0289544692914474e-24
